X,Y,Z,Settlement_carga_mm
0.0,1.8037687901858541,-6.45,14.627490772711852
0.0,2.705653185278781,-6.45,13.887158459815907
0.0,3.6075375803717074,-6.45,12.530679394233573
0.0,4.509421975464637,-6.45,10.322198369922745
0.0,5.4682811743249085,-6.45,7.875157741596922
0.0,6.766664537310033,-6.45,5.133285148826403
0.0,8.535367858988211,-6.45,2.83526215996514
0.0,10.446139882490176,-6.45,1.5356897671678382
0.0,12.356911905992142,-6.45,0.8981630726286909
0.0,14.267683929494105,-6.45,0.5057805700995885
0.0,16.17845595299607,-6.45,0.30606673225720726
0.0,18.089227976498034,-6.45,0.16209639072089033
15.0,0.0,-4.8375,-0.09443605472753802
15.0,0.0,-3.225,-0.5404486290379111
15.0,0.0,-1.6124999999999998,-0.7854921064718781
3.5376396169256408,0.0,0.0,23.700242665697346
4.179587593604426,0.0,0.0,20.173774938398736
5.051280134838418,0.0,0.0,15.251597420810953
6.234972624652339,0.0,0.0,9.758359798608296
7.836776289147215,0.0,0.0,4.789268702974482
9.62758221686041,0.0,0.0,2.115665395667776
11.418388144573608,0.0,0.0,0.7681144314718154
13.209194072286804,0.0,0.0,-0.04218780962671076
3.0,0.0,-3.5000000000000013,35.30976797353519
3.0,0.0,-2.3807483135263547,30.184814562084554
3.0,0.0,-1.7420566481728814,27.939998389899444
3.0,0.0,-1.1332919243378106,27.02900757656792
3.0,0.0,-0.5530519396190576,26.64038449969435
0.6,0.0,-4.0,35.468259428512354
1.2,0.0,-4.0,35.44173794160456
1.8,0.0,-4.0,35.40382140501953
2.4,0.0,-4.0,35.35495950337135
0.8853087254450626,0.0,-6.45,14.86040216532983
1.7706174508901251,0.0,-6.45,14.183926637305632
2.6559261763351873,0.0,-6.45,12.859739386780717
3.5412349017802502,0.0,-6.45,10.625006463051434
4.486874456291232,0.0,-6.45,8.125687353170804
5.764113604820426,0.0,-6.45,5.525517327323499
7.497383682668961,0.0,-6.45,3.1852923291443034
9.37303776200172,0.0,-6.45,1.8930933632240254
11.24869184133448,0.0,-6.45,1.128920032246583
13.124345920667238,0.0,-6.45,0.6882259109071782
0.6,4.0,-4.0,34.953945023336786
1.2,4.0,-4.0,34.91769551344382
1.8,4.0,-4.0,34.86307557311065
2.4,4.0,-4.0,34.79590270598615
3.0,0.5714285714285704,-4.0,35.287587577284484
3.0,1.1428571428571417,-4.0,35.23575386930369
