X,Y,Z,Settlement_carga_mm
0.0,7.5,-1.6666666666666665,0.8615948801057911
5.0,0.0,-3.333333333333333,1.4072642932040509
5.0,0.0,-1.6666666666666665,1.3471884541710892
1.584174767136193,0.0,0.0,3.342274044032706
2.382299656002554,0.0,0.0,2.41130962484889
3.4827665484379806,0.0,0.0,1.7571468873147893
1.6666666666666667,7.5,0.0,0.8248305135731115
3.3333333333333335,7.5,0.0,0.7741973886841222
5.0,1.875,0.0,1.2533776961252059
5.0,3.75,0.0,1.0937895818031151
5.0,5.625,0.0,0.8973792254439132
5.0,7.5,-3.333333333333333,0.7552637005636385
5.0,7.5,-1.6666666666666665,0.704252267009366
0.0,5.997373011451305,-9.499722910466748,0.7049630762551189
0.0,1.5025082475914338,-9.499999504934987,0.8338300469080338
0.0,2.7774223905903144,-6.794978517019362,1.137472827361968
0.0,2.778809862464767,-12.203769184859755,0.5237626489151701
0.0,4.716129023347552,-6.818925431411245,0.9529576011438294
0.0,3.8048088359798977,-8.067299160093304,0.9023805467576622
0.0,4.716377260744486,-12.179135872996268,0.5112638178222468
0.0,3.8050462520543746,-10.931305435096721,0.6285508860613653
0.0,6.1408588646698306,-7.778258372629646,0.8104303988704586
0.0,1.3587580408072795,-11.22482684637404,0.6310058973136066
0.0,1.3586071870821415,-7.774962370409055,1.068130514501732
0.0,6.140420022901386,-11.220675195318751,0.5812620016270351
0.0,6.179110415562538,-12.67387406961844,0.4738697623400654
0.0,1.3205962268217775,-12.675372662023625,0.48561176964307506
0.0,1.320516139066696,-6.324551167561039,1.2965036952508129
0.0,6.18127654670676,-6.32372342853852,0.8868759931525432
0.0,4.990887356688169,-8.611593348620675,0.8005733012531664
0.0,3.7683839528222123,-9.499620655635685,0.7626309967507297
0.0,2.5095612722108323,-8.612451187895529,0.9021579938916773
0.0,4.990921077312796,-10.38753740105394,0.6553495225413428
0.0,2.509078922687205,-10.387537401053937,0.7008394246336813
5.0,5.997373011451305,-9.499722910466748,0.6938399385607354
5.0,1.5025082475914338,-9.499999504934987,0.8138253124456973
5.0,2.7774223905903144,-6.794978517019362,1.0258160312864817
5.0,2.778809862464767,-12.203769184859755,0.5349882173740497
5.0,4.716129023347552,-6.818925431411245,0.8960892192775134
5.0,3.8048088359798977,-8.067299160093304,0.8588622888814257
5.0,4.716377260744486,-12.179135872996268,0.520665360187877
5.0,3.8050462520543746,-10.931305435096721,0.6310496870896465
5.0,6.1408588646698306,-7.778258372629646,0.7814413007940431
5.0,1.3587580408072795,-11.22482684637404,0.6374087736478842
5.0,1.3586071870821415,-7.774962370409055,0.9970831521699566
5.0,6.140420022901386,-11.220675195318751,0.5852425187205696
5.0,6.179110415562538,-12.67387406961844,0.4838275255083673
5.0,1.3205962268217775,-12.675372662023625,0.5001670427177736
5.0,1.320516139066696,-6.324551167561039,1.1457727996659486
5.0,6.18127654670676,-6.32372342853852,0.8418760919649628
5.0,4.990887356688169,-8.611593348620675,0.77815663957373
5.0,3.7683839528222123,-9.499620655635685,0.7514485908241113
5.0,2.5095612722108323,-8.612451187895529,0.8698826973650355
5.0,4.990921077312796,-10.38753740105394,0.6534414345154111
5.0,2.509078922687205,-10.387537401053937,0.7034547980095276
2.5000000000000004,0.0,-12.556624327025936,0.5045858214541674
2.5,0.0,-6.443375672974064,1.2283013425988614
1.4998558325730798,0.0,-9.5,0.8321374620854911
3.50014416742692,0.0,-9.5,0.8277206897915761
3.400291472933393,0.0,-11.28516593942145,0.6345284566794476
1.584991658530147,0.0,-11.298426231060754,0.6286232478335378
3.4002914729333935,0.0,-7.714834060578553,1.0269872283516435
1.584991658530147,0.0,-7.701573768939246,1.07574970957387
3.8348623139796594,0.0,-12.79605972830962,0.48995118268602766
1.1947943042045561,0.0,-12.765313915859979,0.4831787126493978
1.194794304204555,0.0,-6.234686084140019,1.3458904817666024
3.8348623139796594,0.0,-6.2039402716903815,1.1967097260189945
2.4992338156738616,0.0,-10.29297458087878,0.7327304792167233
2.499193926860549,0.0,-8.702396886518182,0.9269298858225312
2.5000000000000004,7.5,-12.556624327025936,0.49931088909552557
2.5,7.5,-6.443375672974064,0.82798500482523
3.50014416742692,7.5,-9.5,0.6869182001225234
